Gene,Protein.class,Disease_Related,Drug_Target,Enzyme,Kinase,Peptidase,GPCR,Transcription_Factor,Membrane_Protein
PSMB1,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins","",Y,Y,"",Y,"","",""
SYN1,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Y,"","","","","","",""
JARID2,"Plasma proteins, Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
CDKL5,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,Y,"","","",""
CAMK1G,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","","",Y,Y,"","","",Y
CDK11A,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,Y,"","","",""
NADK,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
TFAP2B,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors",Y,"","","","","",Y,""
TFAP2D,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
DLEC1,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Y,"","","","","","",""
CYTH3,Predicted intracellular proteins,"","","","","","","",""
ADAM22,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Y,"","","","","","",Y
SYPL1,Predicted membrane proteins,"","","","","","","",Y
CYB561,"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
SPAG9,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
CELSR3,"G-protein coupled receptors, Metabolic proteins, Plasma proteins, Predicted membrane proteins","","","","","",Y,"",Y
AASS,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
PLEKHG6,Predicted intracellular proteins,"","","","","","","",""
SS18L2,Predicted intracellular proteins,"","","","","","","",""
MPND,"Enzymes, Predicted intracellular proteins","","",Y,"",Y,"","",""
MGST1,"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins","","",Y,"","","","",Y
CRY1,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
PGLYRP1,"Metabolic proteins, Plasma proteins, Predicted secreted proteins","","","","","","","",""
NFIX,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors",Y,"","","","","",Y,""
ST3GAL1,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
MMP25,"Enzymes, Predicted secreted proteins","","",Y,"",Y,"","",""
IL32,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","","","","","","","",""
PKD1,"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
MAPK8IP2,Predicted intracellular proteins,"","","","","","","",""
MED24,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
RHOBTB2,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
HEATR5B,Predicted intracellular proteins,"","","","","","","",""
SEC62,"Predicted membrane proteins, Transporters","","","","","","","",Y
RPS20,"Plasma proteins, Predicted intracellular proteins, Ribosomal proteins","","","","","","","",""
CSDE1,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins","","","","","","","",""
UBE3C,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
REV3L,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins","","",Y,"","","","",""
TENM1,"Predicted membrane proteins, Transporters","","","","","","","",Y
PAX7,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors",Y,"","","","","",Y,""
MASP2,"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins",Y,Y,Y,"",Y,"","",""
IYD,"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted membrane proteins",Y,Y,Y,"","","","",Y
FAM76A,Predicted intracellular proteins,"","","","","","","",""
TRAF3IP3,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
