Gene,Protein.class,Disease_Related,Drug_Target,Enzyme,Kinase,Peptidase,GPCR,Transcription_Factor,Membrane_Protein
ABHD5,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"",Y,"","",""
ANOS1,"Disease related genes, Human disease related genes, Predicted secreted proteins",Y,"","","","","","",""
AKAP8L,Predicted intracellular proteins,"","","","","","","",""
MBTD1,"Disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
UTP18,Predicted intracellular proteins,"","","","","","","",""
RNF216,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
TTC19,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
PTBP1,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
DPF1,Predicted intracellular proteins,"","","","","","","",""
SYT7,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
LARS2,"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
PIK3C2A,"Disease related genes, Enzymes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,Y,"","","",""
PLAUR,"Cancer-related genes, CD markers, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins","",Y,"","","","","",Y
ANLN,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
WIZ,"Plasma proteins, Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
RABGAP1,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
DCN,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Y,"","","","","","",""
QPCTL,"Enzymes, Predicted intracellular proteins","","",Y,"","","","",""
PPP5C,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
CEP68,Predicted intracellular proteins,"","","","","","","",""
MAP4K3,"Cancer-related genes, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins","","",Y,Y,"","","",""
ZBTB32,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
TYROBP,"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
TMEM159,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
GABRA3,"FDA approved drug targets, Predicted membrane proteins, Transporters","",Y,"","","","","",Y
BRCA1,"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
ERCC1,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
CD22,"CD markers, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","",Y,"","","","","",Y
SEMA3B,"Cancer-related genes, Predicted intracellular proteins, Predicted secreted proteins","","","","","","","",""
MBTPS2,"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted membrane proteins",Y,Y,Y,"",Y,"","",Y
PRICKLE3,Predicted intracellular proteins,"","","","","","","",""
LTF,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","","","","","","","",""
EXTL3,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Y,Y,Y,"","","","",Y
NR1H4,"Disease related genes, FDA approved drug targets, Human disease related genes, Nuclear receptors, Predicted intracellular proteins, Transcription factors, Transporters",Y,Y,"","","","",Y,""
ELOVL5,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Y,Y,Y,"","","","",Y
ALOX5,"Enzymes, FDA approved drug targets, Metabolic proteins, Predicted intracellular proteins","",Y,Y,"","","","",""
KDM5D,"Enzymes, Plasma proteins, Predicted intracellular proteins, Transcription factors","","",Y,"","","",Y,""
CALCOCO1,Predicted intracellular proteins,"","","","","","","",""
UBR7,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
MAP4K5,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,Y,"","","",""
EHD3,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
PSMC4,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
MAN2B2,"Enzymes, Metabolic proteins, Plasma proteins, Predicted secreted proteins","","",Y,"","","","",""
SLC7A14,"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
CLDN11,Predicted membrane proteins,"","","","","","","",Y
SLC25A39,"Predicted intracellular proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
MVP,"Cancer-related genes, Predicted intracellular proteins, Transporters","","","","","","","",""
NUB1,Predicted intracellular proteins,"","","","","","","",""
PGM3,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
RWDD2A,"Metabolic proteins, Predicted intracellular proteins","","","","","","","",""
CLK1,"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins","","",Y,Y,"","","",Y
POLR3B,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, RNA polymerase related proteins",Y,Y,Y,"","","","",""
ANGEL1,Predicted intracellular proteins,"","","","","","","",""
RNF14,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins","","",Y,"","","","",""
DNASE1L1,Predicted intracellular proteins,"","","","","","","",""
DDX11,"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
HEBP1,Predicted intracellular proteins,"","","","","","","",""
GPRC5A,"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins","","","","","",Y,"",Y
MAMLD1,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
CD6,"CD markers, Predicted membrane proteins, Predicted secreted proteins","","","","","","","",Y
TACC3,Predicted intracellular proteins,"","","","","","","",""
UFL1,Predicted intracellular proteins,"","","","","","","",""
POLA2,"Metabolic proteins, Predicted intracellular proteins","","","","","","","",""
ZC3H3,Predicted intracellular proteins,"","","","","","","",""
CAPN1,"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"",Y,"","",""
ACP3,"Cancer-related genes, Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","",Y,Y,"","","","",Y
MDH1,"Cancer-related genes, Citric acid cycle related proteins, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
SLC30A9,"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
MTMR11,Predicted intracellular proteins,"","","","","","","",""
COX15,"Disease related genes, Human disease related genes, Predicted membrane proteins",Y,"","","","","","",Y
CCDC88C,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Y,"","","","","","",""
YAF2,Predicted intracellular proteins,"","","","","","","",""
ZMYND11,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Y,"","","","","","",Y
WAS,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
DPEP1,"Enzymes, FDA approved drug targets, Metabolic proteins, Predicted intracellular proteins","",Y,Y,"","","","",""
BID,Predicted intracellular proteins,"","","","","","","",""
MATR3,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Y,"","","","","","",""
NPC1L1,"FDA approved drug targets, Metabolic proteins, Predicted membrane proteins, Transporters","",Y,"","","","","",Y
XYLT2,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins",Y,Y,Y,"","","","",""
RGPD5,Predicted intracellular proteins,"","","","","","","",""
STMN4,Predicted intracellular proteins,"","","","","","","",""
NUDCD3,Predicted intracellular proteins,"","","","","","","",""
ISL1,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
CHDH,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
IL20RA,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
CLCA1,"Predicted secreted proteins, Transporters","","","","","","","",""
CLCA4,"Predicted membrane proteins, Transporters","","","","","","","",Y
GLT8D1,"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
ATP2C1,"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted membrane proteins, Transporters",Y,Y,Y,"","","","",Y
IGF1,"Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins, RAS pathway related proteins",Y,"","","","","","",""
SLC38A5,"Metabolic proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
RALBP1,"Metabolic proteins, Predicted intracellular proteins, RAS pathway related proteins, Transporters","","","","","","","",""
RUFY3,Predicted intracellular proteins,"","","","","","","",""
CNTN1,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Y,"","","","","","",""
SLC11A1,"Metabolic proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
WWTR1,"Cancer-related genes, Predicted intracellular proteins","","","","","","","",""
AGPS,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
CXorf56,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
ATP1A2,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters",Y,Y,Y,"","","","",Y
TTC27,Predicted intracellular proteins,"","","","","","","",""
ZNF582,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
VSIG2,Predicted membrane proteins,"","","","","","","",Y
PHLDB1,Predicted intracellular proteins,"","","","","","","",""
MARCO,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
CYP24A1,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
PRDM11,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
SYT13,Predicted intracellular proteins,"","","","","","","",""
SNAI2,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors",Y,"","","","","",Y,""
CD74,"Cancer-related genes, CD markers, Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
HGF,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins, RAS pathway related proteins",Y,Y,Y,"",Y,"","",""
ZRANB1,"Enzymes, Predicted intracellular proteins","","",Y,"",Y,"","",""
NCDN,Predicted intracellular proteins,"","","","","","","",""
ADGRA2,"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins","","","","","",Y,"",Y
ZFP64,Predicted intracellular proteins,"","","","","","","",""
MNAT1,Predicted intracellular proteins,"","","","","","","",""
SAMD4A,Predicted intracellular proteins,"","","","","","","",""
RUNX3,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
MRE11,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Y,"","","","","","",""
PLEKHB1,Predicted intracellular proteins,"","","","","","","",""
SERPINB1,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","","","","","","","",""
CYP3A43,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","","",Y,"","","","",Y
SLC7A9,"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
SPAST,"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Y,Y,Y,"","","","",Y
NRXN3,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
OSBPL5,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
AQR,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","","",Y,"","","","",Y
CPS1,"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Y,Y,Y,"","","","",""
